iter	Logloss
0	0.6854148586
1	0.6799520682
2	0.6725068886
3	0.6670736556
4	0.6614229063
5	0.6578928749
6	0.6523410765
7	0.6485790913
8	0.6444999987
9	0.6434083959
10	0.6408801419
11	0.6384679426
12	0.6341642699
13	0.6310466835
14	0.6289652524
15	0.6261896339
16	0.6241168776
17	0.623205011
18	0.6218024673
19	0.6204347583
20	0.6199364261
21	0.617548033
22	0.6153448189
23	0.614275713
24	0.6128035325
25	0.6111322651
26	0.6102248174
27	0.6084341003
28	0.6060056285
29	0.604205136
30	0.6027034301
31	0.6014907774
32	0.600254387
33	0.599043515
34	0.5976967926
35	0.5966824789
36	0.596121453
37	0.5947845197
38	0.5937018626
39	0.59209318
40	0.5912878478
41	0.5904146524
42	0.5887641432
43	0.5876310683
44	0.586680162
45	0.5852556562
46	0.5842084849
47	0.5832626883
48	0.5829629553
49	0.5822194969
50	0.5814461529
51	0.5810851502
52	0.5805901244
53	0.5796842945
54	0.5785102014
55	0.5778072786
56	0.5768566035
57	0.5756750608
58	0.5756748621
59	0.5748173574
60	0.5739466107
61	0.5734954305
62	0.5727528867
63	0.5721068423
64	0.5713559802
65	0.5704303035
66	0.5697994778
67	0.5686867387
68	0.5680204912
69	0.5671642996
70	0.5647215554
71	0.5641788413
72	0.5634292678
73	0.5632774649
74	0.5623331173
75	0.5613668433
76	0.5607453244
77	0.5595467852
78	0.5588145321
79	0.5582621895
80	0.5568148061
81	0.5562926769
82	0.5556083697
83	0.5551418776
84	0.5545632949
85	0.5542479214
86	0.5534848998
87	0.5528607996
88	0.5522428434
89	0.5518261707
90	0.5507624455
91	0.5501078593
92	0.5488454531
93	0.5476289123
94	0.5470263398
95	0.5459011699
96	0.5453574823
97	0.5444759448
98	0.5439773726
99	0.5432992081
100	0.5428324969
101	0.5426130254
102	0.5416908969
103	0.5407520775
104	0.5398167289
105	0.5388752668
106	0.5385430501
107	0.5374056057
108	0.5362260937
109	0.5353770544
110	0.534840875
111	0.5334348832
112	0.5325740947
113	0.5313685987
114	0.5305634759
115	0.5295303437
116	0.5287447676
117	0.5284459022
118	0.5276097231
119	0.526487203
120	0.5245943048
121	0.5237864861
122	0.5233476895
123	0.5227882144
124	0.5221531737
125	0.5212116715
126	0.5209353398
127	0.5199623816
128	0.5192321617
129	0.5188617099
130	0.5181350056
131	0.5168948693
132	0.5162111139
133	0.514954983
134	0.5140846252
135	0.5136085576
136	0.512422292
137	0.5110019425
138	0.5093504129
139	0.5087534754
140	0.5080548144
141	0.5070931009
142	0.5066408682
143	0.5056709877
144	0.5049324677
145	0.5042322524
146	0.5037715023
147	0.5025100727
148	0.5011460886
149	0.4998940606
150	0.49894469
151	0.4974432771
152	0.4969522629
153	0.4960937587
154	0.4954879936
155	0.4949268517
156	0.4938682203
157	0.4924539781
158	0.49139577
159	0.4907328124
160	0.4901241786
161	0.4895524255
162	0.4881262152
163	0.4873631059
164	0.4863688154
165	0.4854756709
166	0.4842910462
167	0.4833086478
168	0.4827724564
169	0.4815725218
170	0.4801048967
171	0.4797265176
172	0.478812018
173	0.4779910928
174	0.4769669132
175	0.4763031414
176	0.4754511676
177	0.475072647
178	0.4743338194
179	0.4737517968
180	0.472817305
181	0.4720417779
182	0.4715171253
183	0.4703436288
184	0.4691617283
185	0.4685613443
186	0.4679809237
187	0.4669419551
188	0.466235972
189	0.465650759
190	0.4649712988
191	0.464068133
192	0.4636488599
193	0.4627635001
194	0.4622427915
195	0.4615806529
196	0.4611809364
197	0.4608504056
198	0.4601077915
199	0.4597236887
