iter	Passed	Remaining
0	2	581
1	6	601
2	9	609
3	12	607
4	15	607
5	18	605
6	21	598
7	23	567
8	26	564
9	27	523
10	30	518
11	36	578
12	40	586
13	43	571
14	45	562
15	48	555
16	51	557
17	54	553
18	57	550
19	62	564
20	65	556
21	68	552
22	71	550
23	74	544
24	84	592
25	87	585
26	97	624
27	103	635
28	106	629
29	110	626
30	113	620
31	117	614
32	130	659
33	133	653
34	137	646
35	139	637
36	142	625
37	145	618
38	149	615
39	155	620
40	158	613
41	160	604
42	164	599
43	169	601
44	175	605
45	178	599
46	187	609
47	190	601
48	195	601
49	198	596
50	201	589
51	204	582
52	207	576
53	211	571
54	214	564
55	217	558
56	220	553
57	223	547
58	224	536
59	231	541
60	235	536
61	238	530
62	246	535
63	249	529
64	254	528
65	257	522
66	260	517
67	263	511
68	266	506
69	270	501
70	276	502
71	280	499
72	283	494
73	291	496
74	296	493
75	299	488
76	303	484
77	306	479
78	309	474
79	313	470
80	316	464
81	325	468
82	329	464
83	332	458
84	335	453
85	338	448
86	341	443
87	344	437
88	349	435
89	354	432
90	357	428
91	360	423
92	375	431
93	378	426
94	381	421
95	383	415
96	386	410
97	390	406
98	393	401
99	402	402
100	405	397
101	407	391
102	410	386
103	413	382
104	417	377
105	419	372
106	422	367
107	426	363
108	429	358
109	432	353
110	435	348
111	439	345
112	444	342
113	448	338
114	450	332
115	453	328
116	461	327
117	467	325
118	480	327
119	492	328
120	497	324
121	501	320
122	504	315
123	507	310
124	510	306
125	513	301
126	516	296
127	522	293
128	525	289
129	528	284
130	531	279
131	535	275
132	538	271
133	541	266
134	547	263
135	549	258
136	553	254
137	556	249
138	560	245
139	564	242
140	568	237
141	575	234
142	581	231
143	586	228
144	589	223
145	595	220
146	604	217
147	607	213
148	609	208
149	612	204
150	621	201
151	627	198
152	630	193
153	633	189
154	636	184
155	639	180
156	642	176
157	645	171
158	649	167
159	652	163
160	655	158
161	658	154
162	661	150
163	664	145
164	673	142
165	676	138
166	679	134
167	681	129
168	684	125
169	687	121
170	690	117
171	696	113
172	699	109
173	702	105
174	708	101
175	710	96
176	713	92
177	716	88
178	719	84
179	722	80
180	725	76
181	729	72
182	733	68
183	741	64
184	744	60
185	747	56
186	759	52
187	772	49
188	776	45
189	780	41
190	782	36
191	785	32
192	789	28
193	793	24
194	796	20
195	799	16
196	804	12
197	808	8
198	818	4
199	821	0
